Speak to General Nazgrim in Grommash Hold in Orgrimmar.	The Art of War	Lok'tar Ogar, old friend. It has been too long since last we spoke. It is good to see that you emerged safely from the depths of Vashj'ir. I am stationed here in Grommash Hold. All in service to the Horde are to swear allegiance to their new Warchief. You would do well not to keep him waiting, George. 
Talk to Foreman Glibbs just inside the Orgrimmar Rear Gate in Orgrimmar.	Machines of War	Far to the east the ""Worldbreakers"" lay hidden in the Twilight Highlands. We must end their threat and we will do it with the most powerful army ever! Our new allies, the goblins, are making us new machines of war but I hear that there are problems with the quality. We can't fight with broken war machines. Speak to Foreman Glibbs and make sure our machines are ready for battle. 
Speak to Commander Schnottz.	Firing Squad	Come out back vizh me, Human. Zhere is somezhink I vould like you to see. 
Meet Master Mathias Shaw in Stormwind Harbor.	Battle for Azeroth: Hour of Reckoning	Champions of the Alliance, At last the time has come for us to reclaim what is rightfully ours! Our final push to retake Lordaeron Keep shall commence at dawn. The Horde and their Warchief must answer for their crimes! 
Find and close 3 Void Tears in Uldum.	Close to Tears	Our warriors have observed foul manifestations coming forth from numerous void tears within the surrounding jungle. They have been but mere weaklings, clearly intended to test our defenses before the real forces arrive. If we do not deal with this threat now, however, it will only be a matter of time until we are overrun by their fodder. Find a way to close those portals! 
Collect 8 Coalesced Corruption from slimes in Uldum.	Questionable Sourcing	My clairvoyance provides a great strategic asset to the people of Ramkahen. However, the potency of my visions of late has proven taxing to my health. I have devised a tonic that may serve to dull the harm these visions cause, but it will require the coalesced essence of the Old Gods' corruption. If you could retrieve some samples of this for me, it could prove invaluable in our efforts. 
Kill 5 Amethyst Scarabs, 5 Sapphire Scarabs, 5 Turquoise Scarabs, and 5 Emerald Scarabs.	Just a Fancy Cockroach	Evidently, the ancient statues were home to various species of scarab. Determined to leave this site in the best condition possible, you resolve to ridding the chamber of these pests. 
Speak to Ziradormi in Orgrimmar.	Your Time Has Come	<A pleasant image fills your mind's eye as a calm voice echoes through your being.>Young Mechanic, be still and hear my words. I am called to collect you, to deliver you, to one whose eye none can escape. Find me in Orgrimmar, mortal, for your time has come. 
Complete the Battle for Lordaeron.	The Battle for Lordaeron	King Wrynn has mustered our forces, George. We mean to launch a full-scale assault on Lordaeron. We'll drive the Horde from the keep and reclaim it for the Alliance. It's been far too long since our flag flew in Tirisfal. Ready to ship out? Captain Angelica here will see to your transport. 
Use the Captured Totem to set it on the ground, and kill 10 Mottled Drywallow Crocolisks or Drywallow Daggermaws near it to test its effects.	The Grimtotem Weapon	During the last Grimtotem attack, I was wounded, but not before I managed to capture a curious totem our enemies were using against us. It seemed to be emitting raw bolts of energy during the battle, but in all my experiments, I haven't managed to figure out how it works. I'll loan the totem to you if you agree to help me test it. The watery areas surrounding the farm are home to pesky mottled drywallow crocolisks and drywallow daggermaws. Try fighting the crocolisks near the totem. 
Overseer Gorthak wants you to bring him the Kaldorei Assassin's Head.	Security!	It's not as like I haven't got enough to think about here! Keeping this place operational is hard enough without constant elf and draenei harassment. Now, on top of everything, there's an assassin lurking around the camp who's killed an important diplomat... on my watch! Whoever it is couldn't have gotten far, Mechanic. Scour the camp until you find her and then avenge the diplomat! At least I can bring the assassin's head with me when I have to answer to Hellscream. 
Complete ""The Stormwind Extraction"" scenario.	The Stormwind Extraction	My lady is shrewd indeed. If we are to infiltrate Stormwind City, we will need the very best the Horde has to offer, and yet a team so small as to be able to infiltrate the heart of Alliance territory unseen.<Nathanos peers at the gathered group, stroking his chin.>Yes, I see. The path ahead is clear. Speak to me when you are ready to undertake the Warchief's mission, George. 
Speak with Provisioner Qorra in Uldum for your reward.	Supplies from the Uldum Accord	The Uldum Accord appreciates all the help you've given us. Please take these supplies as a token of our gratitude, and a promise of more to come, should you continue to help us. 
Collect 9 pieces of Infernal Debris from Shatter Scar Vale.	Fel To Pieces	The infernals that lurk in Shatter Scar Vale are formidable, but not invincible. Much progress has been made in thinning their numbers. Destroying them is only part of the solution, however. I've found that the stone that infernals are made of still contains large amounts of fel magic even after the infernal's death. The rubble of slain infernals now litters Shatter Scar Vale, leeching its corruption back into the ground. If you could collect it and bring it to me, I would be grateful. 
Deliver the Free Ticket Voucher to Gelvas Grimegate, located inside the Darkmoon Faire.	The Darkmoon Faire	The Darkmoon Faire is coming! Experience our thrilling games, win fabulous prizes, have your fortune told! If you act right now, you can redeem this voucher for free prize tickets and a copy of the world-famous Darkmoon Adventurer's Guide to help you identify treasures in your travels! Just hand your voucher to Gelvas Grimegate located inside the Faire. Right now, the entrance to the Faire is outside Goldshire, in Elwynn Forest. 
Alexstrasza the Life-Binder at Wyrmrest Temple has requested that you recover Dahlia's Tears from soil freshly cleansed by a Ruby Keeper's flames.	Dahlia's Tears	In this dark time, I'll not be the one to abandon a champion of the Light. We will need something sacred for this to have a hope of saving your Bridenbrad... a remnant of a devout being that fell victim to this very same plague. Go now to the sacred soil of the passages outside my Ruby Dragonshrine where the battle is joined. As my Ruby Keepers fly down and set flame to the ground beneath undead feet, you will witness new life grow forth. Among that life are Dahlia's Tears - bring them to me. 
Captain Edward Hanes on Wyrmscar Island wants you to recover 4 Bloodcursed Souls.	The Hopeless Ones...	On a ledge of the reef, deeper than where you found the bloodcursed naga, you will find the hopeless ones: The bloodcursed voyagers, ghosts of those taken by the bloodcurse. It is regrettable, what I ask of you now... but they must be destroyed and their cursed shells brought back to me. Their souls must be put to rest. Return to me when you have done as asked and I shall give you one final task. 
Speak to Anachronos in the Caverns of Time.	A Legendary Engagement	I expected that I would find you here, Mechanic. But then, we of the bronze flight have somewhat of an advantage when it comes to such things.<Coridormi smiles.>For reasons unknown to me, my master seeks audience with you. I would counsel you not to take this invitation lightly, George. Anachronos seldom has cause to interact with mortals. Wisdom would dictate that you seek him out in the Caverns of Time at once. Speak to me when you are ready and I shall personally deliver you. 
Collect an Iron Box and a Russet Belt from locations within Stormwind, and a Standard Scope from an engineer.	Light Camera Action	Oh, hi! Isn't this a great shot? I love my S.E.L.F.I.E. camera! Do you want me to make you one, too? I only need a few parts! For the strap, I'll need a Russet Belt from one of the armor merchants in Stormwind. I've already ordered more housings, you're welcome to take one, you just have to find where my shipment ended up! Oh, and a Standard Scope, most any engineer can make you one of those. Ok, are you ready for a little photography action?! 
Find and kill the surveyor Henry Zykes.	Stalling the Survey	These maps have all been drawn by the same steady hand. I've seen a human surveyor heading up and down the road between the hold and the jungle to the east. We can set their plans back by making an example out of this surveyor, George.<Kilrok points to the signature at the bottom of the maps.>What do you think that says? ""Zykes?"" Even human names sound thin and weak. Kill him. 
Speak to a Darkspear Jailor, then enter the proving pit and kill a Captive Spitescale Scout.	Proving Pit	Ya done quite well for ya'self, Mechanic. I'm sure I could teach ya a trick or two here and dere, but I not be wastin' ya time on tiki targets no longer. l put one last trial before ya den, mon. Head over to da provin' pit in the middle of dis area and fight a real baddy - one dat wants ta kill ya back. Just let the jailor by the pit know when ya ready. 
Kill 8 Amathet Bowmen in Uldum.	Down From the Sky	The archers of Ramkahen are highly skilled, but the bows of the Amathet have the advantage of range. This makes our incursions into their territory highly dangerous. You have a knack for fighting behind enemy lines. If you could thin out their ranks, it could provide us an opportunity to push their lines back for once. Will you help? 
Speak with Chromie in Stormwind.	Adventurers Wanted: Chromie's Call	Chromie is seeking veteran adventurers to embark on expeditions through time and space. This is your opportunity to experience the legendary adventures of the past--today! Speak with Chromie near the Stormwind Embassy for more information. 
Speak to Sorata Firespinner in Bilgewater Harbor.	Farewell, Minnow	Thank you, little one. Sometimes it's easy to get lost in the throes of love and lose sight of things, even as a dragon. I plan to rededicate myself entirely to making sure Kalec never steps up to take Malygos' place. It's the most noble cause I can think of. You should head back to the harbor. I believe someone's waiting for you there. Try not to get squashed or eaten by anything. 
Use Delaris's Prism to terrify 20 Jadefire Imps.	Open Their Eyes	Before you go...I've taken advantage of my ""alone time"" with Impsy here to learn some interesting facts about imps. Specifically, he ended up telling me the one thing that all imps fear most. Something they're absolutely terrified of. I thought that sounded useful as well as interesting, so I've done some basic conjuring. This prism will project an image of... well, of what Impsy described. Shadowlurk Ridge is still swarming with imps. Why don't you go test their reaction for me? 
Activate the four nearby elemental crucibles in the correct order to take control of the Eye of Twilight.	Elementary!	<You can't read the text, but diagrams seem to indicate that the devices around you should be activated in a set order.><One passage of the Apocrypha has been translated to modern text:> In the beginning was shadow eternal. Hate blazed forth, and FIRE was born. Wounds scabbed, and so begat EARTH. Cries of anguish birthed howling WIND. Wherein the skies wept seas of TEARS. We live in the shadow, The world we know Built of rage, hurt, anguish and sorrow. 
Use the Raging Vortex Gem at Nijel's Point Ruin. While commanding your firestorm, kill 40 Nijel's Point Defenders and burn 15 Nijel's Point Merchants. Should you lose your Raging Vortex Gem, you may acquire another from the Ancient Vortex Runestone.	Rider on the Storm	You cannot help but to feel a twinge of pride, having unlocked this long lost secret of the ancient worshippers of Elune. You now possess the power to inflict great damage upon your enemy. As it was Furien's tireless work that made this possible, it only seems right that the weapon should be unleashed upon those who took his life. The Alliance scum at Nijel's Point shall pay for their offenses against the Horde! 
Defeat Vorsha the Lasher.	Vorsha the Lasher	Vorsha the Lasher... the fiendish hydra that roams the seas...She has attacked our outpost, each time unprovoked, laying waste to anything that falls in her path. But I am ready, George. I have prepared to best the hydra and end these attacks on Zoram'gar. The naga honor the wicked nature of this beast with a brazier that remains lit on an island just off the coast. I believe that if we put it out, Vorsha will appear in anger. We will need help, so be sure to bring some strong allies. 
Inspect Hellscream Demolishers until you find a faulty one, then teach its Chief Engineer a lesson.	Weapons of Mass Dysfunction	<Glibbs mops sweat from his brow with a greasy handkerchief.>Saurfang isn't happy with our work? This is very bad. My boys need to step it up. Maybe you can help set an example. A set of Hellscream Demolishers just rolled off the blocks and are ready for inspection. Give them a thorough going-over, and if you find any problems, give the Chief Engineer a good thrashing. Remind them that the Horde is depending upon them! 
Use Dartol's Rod and speak with Ota Wen. Convince him to rise up against his Horde oppressors. Then, deliver Dartol's Rod to Raene Wolfrunner.	True Power of the Rod	Now, take the rod and while using its power, speak with my brother, Ota Wen. Ota is amongst the other furbolg that the orcs have captured and have penned in the giant cage on the north side of Silverwind Refuge. The rod will allow you to convince Ota and the other furbolg to rise up and attack the Horde. Then you may go wherever your path leads you. Just know that you have found a new friend for that which you have done. 
Speak to Captain Saynna Stormrunner at the Barrow Dens in Hyjal.	A Prisoner of Interest	The Twilight's Hammer wants to free Fandral Staghelm? Malfurion suspected his corruption ran deep... this just cements it. At any rate we cannot allow our enemies to get their hands on such a powerful arch druid. I've a plan, George. We will move the prisoner through the Emerald Dream. It will be risky, but with all the cultists present here it might be the only way to guarantee our success. Speak to Saynna Stormrunner inside the Barrow Dens to the northeast. 
Speak with Captain Garrick to find out what is happening between the Horde and Alliance.	War with the Horde	Good to see you've received proper training as a Mechanic. We'll need it for what's next. The Alliance's war with the Horde has reached a fevered pitch... and we've lost a lot of good soldiers. King Anduin is looking for aid in an operation to bolster our forces. I told him you'd be a good fit for the job. Before you meet him, let me get get you caught up on what has been happening so far. 
Use the Phaseblood Potion at the Sigil of Tichondrius to shift into the nether, and search for the Claw of Tichondrius.	Touch the Untouchable	I've added a drop of my very own essence to the ooze. Look for a glowing sigil to the west, at the edge of Shadowlurk Ridge. Stand on it, concentrate, and pour this stuff all over yourself. It should be enough to shift you into the nether and let you see what's REALLY there. You won't be alone... the satyr's treasure is being guarded by the biggest voidstalker they could summon. Defeat him, and the treasure is yours. And come back in one piece, or this crazy broad's gonna fry me! 
Speak to Cenarion Emissary Jademoon to secure transportation to Moonglade.	Hero's Call: Mount Hyjal!	By order of his royal highness, King Anduin Wrynn, all able-bodied citizens of the Alliance are to report to Emissary Windsong at Nighthaven in Moonglade. Our brothers in the Cenarion Circle report that Deathwing's minions have launched a destructive offensive against the world tree and threaten to burn it to the ground! Speak with Cenarion Emissary Jademoon in Stormwind Keep to gain entry into Moonglade. For the glory and honor of the Alliance! Fight on, <brother/sister>! 
Bring the Otherworldly Saddle to H'Partho Adoros in Ramkahen.	My Own Drone	The saddle is complete. I can't say I enjoyed working with that corrupted metal, but in the end I can easily say this is the finest saddle I have ever crafted. I know it looks... aggressive, but I assure you that your aqir will find it quite comfortable. I hope it serves you well. 
Naraat the Earthspeaker wants you to look into the Waters of Farseeing.	The Eye of the Storm	Greetings, hero of Azeroth. We of the Earthen Ring know you by name, George. Your exploits and accomplishments are many. Azeroth already stands in your debt, and yet again she is in need of her heroes. I am but a messenger. A powerful presence seeks audience with you. Peer into the Waters of Farseeing and behold the dilemma of our world. 
Speak to General Nazgrim aboard Hellscream's Fist.	All Aboard!	You hear all of that, George? There are Alliance that need killing and I need to round up a veteran crew. You're coming with me! We won't be returning until our assignment's complete, so round up your things and make ready. I'll be aboard a newly commissioned gunship over Bladefist Bay. Don't keep me waiting! 
Moxie Steelgrille wants you to dissolve 10 oozes and report back to her at Beezil's Wreck.	Corrosion Prevention	Just look at this area! It's swarming with oozes. If I don't find some way to keep them under control, they'll corrode the wreckage and the zeppelin's cargo! I can't go back empty-handed, Mechanic! Help me dissolve these oozes before they've digested everything! This device, when powered, will concentrate energy on the slimes, causing them to explode. The zeppelin's fragmented power core should power the device. The one near the main crash works all the time, but the others flicker on and off. 
Stop the Darkscale Priestesses from offering the Horn of the Ancients to Azshara above Nazj'vel.	The Offering to Azshara	The warlord said the horn of the ancients was being offered to Azshara above Nazj'vel. Perhaps it's not too late to save the ancient relic from being destroyed. 
Check in with Friz Groundspin at the Southern Rocketway Terminus in Azshara.	Twilight Skies	I just got word from Orgrimmar that the Warchief wants us to move out. We wouldn't have been ready if it wasn't for your help! The plan is for the air fleet to take off immediately, and for the navy to follow close behind. Hellscream will be accompanying the air fleet and specifically requested that you come along with us. No time to delay! Go to the Southern Rocketway Terminus here in Azshara, and check in with Friz Groundspin. I'll bring the zeppelin around to pick you up. 
Blow your horn at Echeyakee's lair to summon him. Slay or subdue him.	Echeyakee	Whitemist, or 'Echeyakee' in the tauren tongue, is the king of the savannah cats. He hunts with such stealth, they say he's like a thin, white mist on the earth. He kills so fast his prey have no time for fear or pain. The tauren say he is both mercy and death. George, I now set you on the path to hunt Echeyakee. His lair is just northwest of here, on the north side of a small mountain, among the bones of giant Kodo. Go. Blow this horn when you reach his lair. Blow the horn, and he will come. 
Place the Bloodtooth Banner on the Foulweald Totem Mound. Do not let the furbolgs destroy the banner before their chief arrives. Defeat Chief Murgut.	King of the Foulweald	I care little for who you are, Human. What I do care about is the salvation of the furbolg. Take this Bloodtooth tribe banner a short ways northeast into Greenpaw Village and place it upon their totem mound. They will consider this an act of aggression and try to destroy the banner. Hold your ground until their chief, Murgut, appears to save face for the tribe, then kill the traitor! Govern your strength wisely, friend, you're in for a long fight. 
Defeat the Baruk Stone Defender in a pet battle with your Shadowbarb Hatchling in your party.	The Littlest Defender	The Baruk mogu are known for animating ancient statues to serve as defenders of their territory. They are a resilient foe, and much can be learned from battling an enemy with such rigid defenses. Fortunately, it seems like one of their Stoneshapers mistakenly animated a small idol. It has been discarded as useless to the mogu who made it, but it could prove a valuable training opportunity for our hatchling. Find this miniature defender in the Vale of Eternal Blossoms. 
	Making Amends	 
Place Twinkles' favorite toy by his grave at the Sludge Fields in Hillsbrad Foothills.	Due Reward	You have served me well these past few minutes we've spent together - minutes I shall not soon forget. I believe a reward befitting your unwavering loyalty is in order. You will have the distinct honor of placing Twinkles' favorite toy by his grave in honor of his memory. Please, please - save your thanks for Twinkles; it is not every day that we may honor a horse made of STARS. 
Speak with the Un'Goro Examinant to teleport to The Shaper's Terrace, then speak with Nablya.	The Shaper's Terrace	<As you look into the orb in front of you, you hear a voice.>The crystal pylons have been activated. A sufficient number of crystals have been gathered. The prerequisites have been met. We are prepared for teleport to The Shaper's Terrace. Speak to me when you are ready, Human. We will consult with The Watcher. 
Obliterate 512 Crazed Gnomes.	Gnomebliteration	I have downloaded my program to the fusion core and have complete control over it. I've created a small pocket of air inside to avoid vaporizing user George. I will yield control of all movement functions so I can dedicate my cycles to keeping the core stable. Go down the hill and neutralize as many of the expedition members as possible. My analysis reveals you might feel... ""guilt"" as a result of such high fatality numbers. User George, you must be assured that expedition members are without hope. 
Accompany Adarrah's caravan into Uldum.	Easy Money	Well, hello there! Whatever brought you, I'm so glad that you're here! My friends will never admit to it, but we could really use a hand. The ancient region of Uldum has been exposed! Treasures beyond your wildest dreams, free for the taking! We just need a bit of an escort, what with the bandits and all...You'll accompany us, won't you? You're welcome to all the loot you can haul off! 
Take the third fleet ship to the Broken Shore.	The Battle for Broken Shore	This is your vessel, George. She's a fine ship; been through many a campaign. Speak with the ship's captain when you're ready to depart. Good luck out there. We've received few reports about what's happening at the Broken Shore, but I'd wager King Varian has matters well in hand. 
Kill Kolkar centaur until Krom'zar appears, then slay him and take a Piece of Krom'zar's Banner.	Counterattack!	The Horde commends your successes against the Kolkar, but the Kolkar themselves are maddened. I have reports that a contingent of Kolkar has traveled to the Barrens from their home in Desolace, to seek vengeance. My latest report was that, even now, they move against these bunkers, from the west! Face the Kolkar invaders, and end their threat in the Barrens. Kill them until their leader, Warlord Krom'zar, appears. Defeat him and bring me a piece of his banner as proof. We're counting on you, George. 
Slay the Avatar of Soggoth at the Master's Glaive.	The Battle for Darkshore	The ancients of the grove have come to our aid, George. I can see through their eyes even as we speak. The Twilight's Hammer has been forced to hasten their ritual and have thus only managed to resurrect but a remnant of dread Soggoth. Destroy it before it's too late, George. I am needed elsewhere. Return to the druids at the Grove of the Ancients when it is all over they will direct you further. 
Bring the distress beacon to Oglethorpe's homing robot.	Find OOX-17/TN!	You have uncovered some sort of strange, egg-shaped device made from metal. Fiddling with one of its knobs springs the egg to life, as it opens up into some sort of gnomish robotic contraption! A voice from inside the robotic egg crackles to life.""The name's Oglethorpe, and my homing robot has gone missing! I will reward you for its recovery! Please take this beacon to the robot. Excellent, I now have computed the coordinates for you! It crashed near the Gaping Chasm in Tanaris!"" 
Smear Pagle's Fish Paste, Extra Strength on yourself, then swim into Tidefury Cove.	Nat's Bargain	So you found a copy of Dastardly Denizens of the Deep, did you? Well, I can tell you from experience, it's all true. I've even seen a few of 'em with my own eyes. But you want to know about Tethyr. I said I'd make you a deal, so here's what I want you to do. I'm working on a new line of baits, but I haven't tested this one yet. Just take this paste -- yeah, it smells a little foul -- smear it on yourself, and swim into the deep part of Tidefury Cove to the southwest. Let me know how it works! 
Use the tailgun to defend the Schnottz Bomber.	Tailgunner!	Okay, I've softened this guy up, how about you help me finish him off? I've got a plan for our escape, but it'll require a lot of guts and a little luck. You up for it, George? Just follow my lead... 
Return the pamphlet to Jartsam at the Cenarion Enclave in Darnassus.	Learn to Ride in Darnassus	This pamphlet advertising riding training and mount purchases was sent from Jartsam. Jartsam can be found at the Cenarion Enclave in Darnassus. 
Locate Herezegor Flametusk at the Wyvern's Tail inn within the Valley of Honor in Orgrimmar, and obtain a Twilight Highlands Coastal Chart.	Unfamiliar Waters	The Warchief has designs to launch an all-out assault on the Twilight Highlands. Once there we hope to ally with the Dragonmaw orcs. Through my own sources I've discovered that a Dragonmaw orc resides here, in Orgrimmar. He is known as Herezegor Flametusk, and once he commanded legions of their warriors. His insider knowledge is precious to us. Find Flametusk and obtain for us a chart of the Twilight Highlands waterways. Last I hear, Flametusk was washed up at a bar in the Valley of Honor... 
Do a silly dance for Ruumbo.	Dance for Ruumbo!	You have done well, Human! Ruumbo is pleased by your bravery, and the delicious honey you have given Ruumbo. Now, you must... you must dance! Yes! Dance for Ruumbo! Dance! 
Speak to Hallegosa.	The Stuff of Legends	It is an honor to make your acquaintance, Human. Your deeds echo in the ears of Azeroth's creatures, mortal and immortal alike. I shall present the heart of Ragnaros to Kalecgos when he arrives. Its power is to be harnessed to further endow your weapon. The ceremony is to begin shortly. I have been appointed to escort you there when you are ready. 
Help Maximillian of Northshire kill the Devilsaur Queen. If you become separated from Maximillian, meet him at Golakka Hot Springs in Un'Goro Crater.	The Ballad of Maximillian	The time we have waited for is upon us, Squire George. Un'Goro's brood mother will perish at my hands. The gravity of our task weighs heavily on me, but with the power of the Light behind us, we are guaranteed to succeed. Are you ready to depart? 
Kill the soulless body of Oben Rageclaw, and then use the Voodoo Charm.	Druid of the Claw	After examining this charm, George, I see now what must be done. Please take it, and do as I ask. You are to approach the door to the nearby chamber. Inside, you will find my soulless body... Although I regret what I am about to tell you, I see no other way to free myself from the control of the Gnarlpine. In order for me to escape them, you must kill my physical form. Once that is done, use the voodoo charm on my fallen body. After you have completed this task, please return to me. 
Visit Alliance forces in Stormwind Harbor.	To Be Prepared	Allies from across Azeroth have come to Stormwind to support our efforts against the Burning Legion. Before you ship out, you should pay them a visit. Every bit of preparation helps! 
Capture a neutral hill in the Fields of Blood and defend it against a Horde counter-attack.	A Line in the Dirt	Strategically, control of a region requires constant observation. See here on this map - I've identified a number of strategic hills, similar to this one, that the Alliance must acquire if we are to keep the enemy under our thumb. My scouts have already marked their location on the field. What I need is someone to spearhead their capture, and you're the <man/woman> for the job. Seek out neutral grey flags on hills to the north, east, and south of the Taurajo Ruins. Capture one and defend it! 
Use the Bootlegger Bug Bait to capture a Hazzali Swarmer.	A Great Idea	Now that we've got a good pile of fresh chunks, we just tie it to this rope...and now you're ready to go catch me a silithid. What? Don't give me that look, it's perfectly safe. Well, mostly safe. Okay, you might die painfully. But it'll be easy! Just throw this meat out there, wait for a bug to pounce on it, and then drag 'em back here by the rope! Go after one of the swarmers. I haven't seen the other ones go for hyenas before, and you should find plenty of swarmers around the edge of the pit. 
Kill Sunscale raptors and collect their feathers. Use the feathers on the 3 Sunscale Nests.	Into the Raptor's Den	The hunt deepens, George. Now you must find and defeat your prey within its lair. Hunt the Sunscale raptors to the south, where they have built a warren amongst the hills just off of the road. Slay them and remove the feathers they wear. Place the feathers on the sunscale raptor nests to show their brethren you do not fear them! Be cautious, Mechanic. Raptors hunt in packs and will swarm you if you are not cautious. 
Hear the moral of Shin Stonepillar's story.	The Wolf and The Kodo	My ""associate"" here has some plans for you that I don't agree with. His actions are hasty, uncontrolled, and irresponsible, and you may end up paying for them with your life. Before you work with Gor, first listen to the tale that I have to tell. It's a moralistic story - a fable - but I believe its lesson will prove valuable. Speak to me when you are ready. 
Speak with Curly at the stables in Old Town.	Finding Your Way	Stormwind has a lot to offer adventurers like us, but it's far too big to explore on foot. The captain has arranged for you to receive a mount to help you get around. She said to speak with Curly at the stables in Old Town... but I can't seem to remember the way there. Have no worries, George! All we need to do is ask a guard for directions. If you ever need help finding something, the city guards will show you where to go. Let's ask a nearby guard for directions to the stable master in Old Town! 
Collect 1 Salvaged Strongbox.	Recover the Cargo!	Well, I was able to make enough repairs to this gear to let you dive for awhile, anyway. I wouldn't count on it holding out for a long time, though. The wreckage of the ship is strewn along the bottom from the east coast of this island out toward Alcaz Island. While that helm holds out, locate pieces of the wreckage on the bottom between this island and Alcaz. Use this salvage kit to search the wreckage for pieces of the cargo. Be careful not to venture too close to Alcaz Island. Those hydra are fierce. 
Go to the top of the northern tower in Desolation Hold and help Warlord Bloodhilt ""Relieve"" Gar'dul of command.	Changing of the Gar'dul	When Bloodhilt arrives, I'd like to - ah - talk in private. Can you accompany me to make sure things stay on the level? This Bloodhilt is a, ah, he's a, he's a loose cannon.<Gar'dul tries to compose himself.>Meet me atop the northern tower and we'll talk with Bloodhilt together. 
Speak to Kadrak at Mor'shan Ramparts and accompany him to Splintertree Post.	To the Rescue!	You're coming with me, George. There's no one else that I can spare, and we cannot afford for Splintertree to be lost. Prepare yourself, and speak to me again when you are ready. 
Grab a giant-sized laxative from the gnomish tower in the Ruined Reaches. Try to feed the laxative to Gormungan the giant.	Azsharite Experiment Number One	Well, I can think of one surefire way to send a giant running to the bathroom, but you're not going to like it. What we need is a ... massive ... laxative. Oh hey! Would you believe the gnomes have something of the sort? That can't be a coincidence. I wonder what they're trying to push through over there? Our intelligence reports that the laxative was delivered to Gadgetspring's tower, down on the shoreline south of the Secret Lab. Retrieve that laxative and feed it to Gormungan! 
Defeat Agogridon.	Death to Agogridon	Our goal is within sight, George! We can break the will of this demon army by bringing down the one who leads them. If we can succeed, Desolace will be ours! When you are ready, lead a group of centaurs through the pass to the south, into Shadowbreak Ravine. Find where Agogridon hides! I will gather the other khans and meet you there to face him in battle. 
